2-29-2016,3-2-2016,H:59,L:34,25,23,W,30,W,0.0
2-29-2016,3-3-2016,H:63,L:36,23,7,SE,10,SE,0.0
3-1-2016,3-1-2016,H:60,L:40,24,10,SW,15,SW,0.0
3-1-2016,3-2-2016,H:65,L:37,24,35,W,40,W,0.0
3-1-2016,3-3-2016,H:68,L:39,25,9,SSW,10,SSW,0.0
3-1-2016,3-4-2016,H:66,L:36,29,7,ENE,10,ENE,0.0
3-2-2016,3-2-2016,H:62,L:35,23,28,WNW,35,WNW,0.0
3-2-2016,3-3-2016,H:68,L:38,21,9,SSE,10,SSE,0.0
3-2-2016,3-4-2016,H:63,L:36,29,7,NNE,10,NNE,0.0
3-2-2016,3-5-2016,H:67,L:40,33,5,NE,10,NE,0.0
3-3-2016,3-3-2016,H:67,L:38,23,7,SSW,10,SSW,0.0
3-3-2016,3-4-2016,H:60,L:33,27,9,E,10,E,0.0
3-3-2016,3-5-2016,H:64,L:38,35,7,E,10,E,0.0
3-3-2016,3-6-2016,H:67,L:39,30,10,S,15,S,0.0
3-4-2016,3-4-2016,H:62,L:35,29,7,ENE,10,ENE,0.0
3-4-2016,3-5-2016,H:66,L:39,35,5,NNE,10,NNE,0.0
3-4-2016,3-6-2016,H:70,L:39,26,10,SW,15,SW,0.01
3-4-2016,3-7-2016,H:53,L:31,38,16,NNW,20,NNW,0.32
3-6-2016,3-6-2016,H:69,L:38,26,9,WSW,10,WSW,0.0
3-6-2016,3-7-2016,H:51,L:31,44,13,NNW,20,NNW,0.16
3-6-2016,3-8-2016,H:53,L:27,33,7,ENE,10,ENE,0.0
3-6-2016,3-9-2016,H:61,L:36,26,6,SSW,10,SSW,0.0
3-7-2016,3-7-2016,H:54,L:31,34,15,NW,20,NW,0.03
3-7-2016,3-8-2016,H:50,L:28,43,7,E,10,E,0.0
3-7-2016,3-9-2016,H:58,L:34,32,5,NE,10,NE,0.0
3-7-2016,3-10-2016,H:69,L:38,26,7,SSE,10,SSE,0.0
3-8-2016,3-8-2016,H:51,L:29,40,6,ESE,10,ESE,0.0
3-8-2016,3-9-2016,H:56,L:31,34,6,NE,10,NE,0.0
3-8-2016,3-10-2016,H:64,L:35,28,6,ESE,10,ESE,0.0
3-8-2016,3-11-2016,H:70,L:40,27,7,E,10,E,0.0
3-9-2016,3-9-2016,H:57,L:33,30,8,W,10,W,0.0
3-9-2016,3-10-2016,H:66,L:36,27,6,ESE,10,ESE,0.0
3-9-2016,3-11-2016,H:72,L:40,26,6,ENE,10,ENE,0.0
3-9-2016,3-12-2016,H:70,L:43,26,9,N,10,N,0.0
3-10-2016,3-10-2016,H:67,L:36,26,6,E,10,E,0.0
3-10-2016,3-11-2016,H:72,L:41,26,5,NE,10,NE,0.0
3-10-2016,3-12-2016,H:69,L:44,27,8,N,10,N,0.0
3-10-2016,3-13-2016,H:69,L:41,25,11,W,15,W,0.0
3-11-2016,3-11-2016,H:73,L:40,26,5,NE,10,NE,0.0
3-11-2016,3-12-2016,H:67,L:45,31,16,N,20,N,0.0
3-11-2016,3-13-2016,H:67,L:40,23,11,NW,15,NW,0.0
3-11-2016,3-14-2016,H:66,L:37,25,24,WSW,30,WSW,0.0
3-12-2016,3-12-2016,H:67,L:45,31,16,N,20,N,0.0
